Week Number,Team,Started: Spot,Ended: Spot,Ended: How,drive_top,Date,Site,Temperature,Weather,Scoring Play,scoring_top,scoring_team
2,UNH,UNH37,UNH41,INT,00:37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,UNH31,UNH8,FGA,04:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 15,UNH40,INT,05:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,SAC26,MER0,TD,01:33,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Williams,Jordan 19 yd pass from Williams,Cardell (Meadors,Grant kick) 4 plays, 74 yards, TOP 01:33",01:33,SAC
3,MER,MER25,SAC17,FG,04:37,09/13/2025,"Sacramento, California",NULL,Sunny,"MER - Young,Max 34 yd field goal 12 plays, 58 yards, TOP 04:37",04:37,MER
3,SAC,SAC19,SAC39,DOWNS,02:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,MER,SAC39,SAC0,TD,02:38,09/13/2025,"Sacramento, California",NULL,Sunny,"MER - Evans,Dylan 24 yd pass from Urena,Adam (Young,Max kick) 6 plays, 39 yards, TOP 02:38",02:38,MER
3,SAC,SAC25,SAC36,FUMB,00:37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,MER,SAC36,SAC41,PUNT,01:37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,SAC20,MER50,PUNT,02:29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,MER,MER15,SAC0,TD,07:36,09/13/2025,"Sacramento, California",NULL,Sunny,"MER - Trobel,Brian 1 yd run (Trobel,Brian rush), 15 plays, 85 yards, TOP 07:36",07:36,MER
3,SAC,SAC22,MER0,TD,03:18,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Henderson II,Damian 19 yd run (Meadors,Grant kick), 9 plays, 78 yards, TOP 03:18",03:18,SAC
3,MER,MER18,SAC43,DOWNS,01:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,SAC43,MER0,TD,00:09,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Campbell,Ernest 57 yd pass from Williams,Cardell (Meadors,Grant kick) 1 plays, 57 yards, TOP 00:09",00:09,SAC
3,MER,MER8,MER7,HALF,00:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,MER,MER26,MER31,PUNT,01:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,SAC20,MER0,TD,02:57,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Adams II,Sam 15 yd run (Meadors,Grant kick), 9 plays, 80 yards, TOP 02:57",02:57,SAC
3,MER,MER16,SAC0,TD,07:03,09/13/2025,"Sacramento, California",NULL,Sunny,"MER - Davison,Rylan 16 yd pass from Urena,Adam (Young,Max kick) 12 plays, 84 yards, TOP 07:03",07:03,MER
3,SAC,SAC47,MER0,TD,04:25,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Henderson II,Damian 4 yd run (Meadors,Grant kick), 10 plays, 53 yards, TOP 04:25",04:25,SAC
3,MER,MER25,SAC7,FG,06:20,09/13/2025,"Sacramento, California",NULL,Sunny,"MER - Young,Max 24 yd field goal 14 plays, 68 yards, TOP 06:20",06:20,MER
3,SAC,SAC20,MER0,TD,05:08,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Henderson II,Damian 30 yd run (Meadors,Grant kick), 9 plays, 80 yards, TOP 05:08",05:08,SAC
3,MER,MER33,MER41,INT,00:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,MER43,MER0,TD,00:23,09/13/2025,"Sacramento, California",NULL,Sunny,"SAC - Williams,Cardell 24 yd run (Meadors,Grant kick), 3 plays, 43 yards, TOP 00:23",00:23,SAC
3,MER,MER25,MER25,INT,01:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,SAC,MER40,MER41,HALF,00:24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU8,MER0,TD,05:49,09/20/2025,"Bozeman, Montana",73.0,Sunny,"MSU - Davis,Julius 3 yd run (Sansted,Myles kick), 10 plays, 92 yards, TOP 05:49",05:49,MSU
4,MER,MER25,MSU43,PUNT,04:09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU20,MER4,FG,07:51,09/20/2025,"Bozeman, Montana",73.0,Sunny,"MSU - Sansted,Myles 22 yd field goal 18 plays, 76 yards, TOP 07:51",07:51,MSU
4,MER,MER18,MSU17,FUMB,06:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU17,MER0,TD,04:35,09/20/2025,"Bozeman, Montana",73.0,Sunny,"MSU - Jones,Adam 5 yd run (Sansted,Myles kick), 11 plays, 83 yards, TOP 04:35",04:35,MSU
4,MER,MER22,MER20,DOWNS,00:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MER,MER25,MER34,PUNT,02:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU28,MER34,INT,03:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MER,MER0,MSU42,PUNT,10:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU20,MSU28,PUNT,01:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MER,MER42,MSU2,INT,06:38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MSU,MSU20,MER38,HALF,04:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,SDS39,MER18,FG,04:51,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Stader,Eli 36 yd field goal 11 plays, 43 yards, TOP 04:51",04:51,SDS
5,MER,MER17,MER18,PUNT,02:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,SDS45,MER0,TD,03:35,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Bullock,Alex 28 yd pass from Mason,Chase (Stader,Eli kick) 7 plays, 55 yards, TOP 03:35",03:35,SDS
5,MER,MER28,MER28,INT,00:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,MER19,MER0,TD,00:06,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - O'Groske,Lofton 19 yd pass from Mason,Chase (Stader,Eli kick) 1 plays, 19 yards, TOP 00:06",00:06,SDS
5,MER,MER25,SDS0,TD,05:18,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"MER - Van Dyke,Evan 22 yd pass from Urena,Adam (Young,Max kick) 11 plays, 75 yards, TOP 05:18",05:18,MER
5,SDS,SDS17,MER7,FG,08:20,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Stader,Eli 25 yd field goal 14 plays, 76 yards, TOP 08:20",08:20,SDS
5,MER,MER31,MER47,INT,03:22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,MER36,MER10,FG,01:50,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Stader,Eli 28 yd field goal 7 plays, 26 yards, TOP 01:50",01:50,SDS
5,MER,MER21,MER13,PUNT,02:16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,MER42,MER0,TD,02:39,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Smith,Jack 18 yd pass from Mason,Chase (Stader,Eli kick) 5 plays, 42 yards, TOP 02:39",02:39,SDS
5,MER,MER13,MER39,PUNT,04:23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,SDS30,MER0,TD,01:07,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Basinger,James 1 yd run (Stader,Eli kick), 4 plays, 70 yards, TOP 01:07",01:07,SDS
5,MER,MER15,MER23,PUNT,01:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,SDS39,MER0,TD,04:48,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Begeman,Brenden 5 yd run (Stader,Eli kick), 9 plays, 61 yards, TOP 04:48",04:48,SDS
5,MER,MER32,MER35,PUNT,01:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,SDS,SDS33,MER0,TD,09:19,09/27/2025,"Brookings, South Dakota",72.0,Sunny,"SDS - Basinger,James 1 yd run (Stader,Eli kick), 14 plays, 67 yards, TOP 09:19",09:19,SDS
5,MER,MER23,MER41,HALF,01:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LIU,LIU25,LIU26,PUNT,01:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER20,LIU0,TD,09:46,10/04/2025,"Erie, Pa,",76.0,Sunny,"MER - Gamble,Jameir 2 yd run ( ), 16 plays, 80 yards, TOP 09:46",09:46,MER
6,LIU,LIU27,LIU28,PUNT,02:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER43,LIU0,TD,01:48,10/04/2025,"Erie, Pa,",76.0,Sunny,"MER - Trobel,Brian 49 yd run ( ), 4 plays, 57 yards, TOP 01:48",01:48,MER
6,LIU,LIU22,LIU30,PUNT,01:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER26,LIU12,FG,06:39,10/04/2025,"Erie, Pa,",76.0,Sunny,"MER - Young,Max 22 yd field goal 12 plays, 62 yards, TOP 06:39",06:39,MER
6,LIU,LIU40,MER49,INT,01:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER2,MER8,INT,01:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LIU,MER10,MER12,FG,01:38,10/04/2025,"Erie, Pa,",76.0,Sunny,"LIU - Johnson,Will 22 yd field goal 4 plays, -2 yards, TOP 01:38",01:38,LIU
6,MER,MER24,LIU42,DOWNS,00:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER23,MER18,PUNT,01:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LIU,LIU43,MER0,TD,02:06,10/04/2025,"Erie, Pa,",76.0,Sunny,"LIU - Kelley,Jaron 24 yd pass from Howell,Chris (Johnson,Will kick) 5 plays, 57 yards, TOP 02:06",02:06,LIU
6,LIU,LIU23,MER8,FG,04:44,10/04/2025,"Erie, Pa,",76.0,Sunny,"LIU - Johnson,Will 25 yd field goal 8 plays, 69 yards, TOP 04:44",04:44,LIU
6,MER,MER25,LIU0,TD,07:38,10/04/2025,"Erie, Pa,",76.0,Sunny,"MER - Van Dyke,Evan 7 yd pass from Urena,Adam (Young,Max kick) 14 plays, 75 yards, TOP 07:38",07:38,MER
6,MER,MER16,MER48,PUNT,05:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LIU,LIU4,MER18,FGA,06:39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,MER,MER20,MER22,PUNT,01:21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LIU,LIU33,LIU39,INT,00:21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER43,WAG46,PUNT,01:33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG15,MER15,FGA,07:05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER20,WAG0,TD,09:14,10/11/2025,"Staten Island, New York",NULL,Rain,"MER - Trobel,Brian 3 yd run ( ), 17 plays, 80 yards, TOP 09:14",09:14,MER
7,WAG,WAG10,MER0,TD,06:03,10/11/2025,"Staten Island, New York",NULL,Rain,"WAG - Cooper,Malik 23 yd pass from Barton,Jordan (Romero,Nicholas kick) 11 plays, 90 yards, TOP 06:03",06:03,WAG
7,MER,MER18,MER24,PUNT,01:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG39,WAG43,PUNT,02:11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER24,WAG0,TD,00:14,10/11/2025,"Staten Island, New York",NULL,Rain,"MER - Trobel,Brian 76 yd pass from Gevaudan,Alex ( ) 1 plays, 76 yards, TOP 00:14",00:14,MER
7,WAG,WAG35,MER46,DOWNS,01:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER46,MER44,HALF,00:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG25,WAG46,FUMB,02:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,WAG46,WAG35,PUNT,03:12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG9,WAG2,PUNT,01:29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,WAG46,WAG0,TD,03:50,10/11/2025,"Staten Island, New York",NULL,Rain,"MER - Trobel,Brian 4 yd run (Young,Max kick), 7 plays, 46 yards, TOP 03:50",03:50,MER
7,WAG,WAG25,WAG31,PUNT,01:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER25,MER44,PUNT,02:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG19,MER44,PUNT,01:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER13,WAG2,DOWNS,09:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG2,MER46,DOWNS,02:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,MER,MER46,WAG46,PUNT,01:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,WAG,WAG18,WAG45,HALF,00:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ25,MER0,TD,06:02,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Isabella,Joey 20 yd pass from Riddell,Tyler (Clark,Matt kick) 10 plays, 75 yards, TOP 06:02",06:02,DUQ
8,MER,MER24,MER19,PUNT,01:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ41,MER0,TD,00:11,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Davis,Ness 59 yd run (Clark,Matt kick), 1 plays, 59 yards, TOP 00:11",00:11,DUQ
8,DUQ,DUQ23,MER9,FG,07:48,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Clark,Matt 26 yd field goal 13 plays, 68 yards, TOP 07:48",07:48,DUQ
8,MER,MER35,MER41,PUNT,04:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,MER,MER25,MER21,PUNT,01:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ34,DUQ45,INT,01:26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,MER,DUQ35,DUQ37,DOWNS,01:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ37,MER8,FG,03:52,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Clark,Matt 27 yd field goal 8 plays, 55 yards, TOP 03:52",03:52,DUQ
8,MER,MER25,MER35,FUMB,02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,MER,MER25,MER42,PUNT,02:24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ32,0,NULL,00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,MER,MER25,DUQ19,FGA,08:12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ20,MER13,FG,06:47,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Clark,Matt 31 yd field goal 11 plays, 67 yards, TOP 06:47",06:47,DUQ
8,MER,MER25,MER20,PUNT,00:26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ28,MER41,PUNT,04:06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,MER,MER20,DUQ46,DOWNS,03:38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ46,MER0,TD,02:50,10/18/2025,"Erie, Pennsylvania",NULL,Sunny,"DUQ - Hopkins,Dazhaun 16 yd run (Clark,Matt kick), 5 plays, 54 yards, TOP 02:50",02:50,DUQ
8,MER,MER37,MER38,PUNT,00:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,DUQ,DUQ20,DUQ29,HALF,02:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO34,MER0,TD,03:39,10/25/2025,", Pennsylvania",45.0,Cloudy,"STO - Washington, Jr.,Torance 23 yd pass from O'Connell,Jack ( ) 7 plays, 66 yards, TOP 03:39",03:39,STO
9,MER,MER22,MER13,PUNT,01:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,MER39,MER35,PUNT,01:07,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,MER,MER16,MER29,PUNT,03:26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO36,MER0,TD,01:36,10/25/2025,", Pennsylvania",45.0,Cloudy,"STO - Kim,Zachary 14 yd pass from O'Connell,Jack (Scalese,Domenic kick) 4 plays, 64 yards, TOP 01:36",01:36,STO
9,MER,MER45,MER39,PUNT,01:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO50,MER2,FG,06:24,10/25/2025,", Pennsylvania",45.0,Cloudy,"STO - Scalese,Domenic 19 yd field goal 11 plays, 48 yards, TOP 06:24",06:24,STO
9,MER,MER27,STO0,TD,03:16,10/25/2025,", Pennsylvania",45.0,Cloudy,"MER - Rodriguez,Ayron 21 yd pass from Urena,Adam (Young,Max kick) 6 plays, 73 yards, TOP 03:16",03:16,MER
9,STO,STO30,STO35,PUNT,01:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,MER,MER23,STO36,DOWNS,04:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO36,MER26,FG,00:28,10/25/2025,", Pennsylvania",45.0,Cloudy,"STO - Scalese,Domenic 44 yd field goal 4 plays, 38 yards, TOP 00:28",00:28,STO
9,MER,MER26,MER26,HALF,00:11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,MER,MER28,STO44,DOWNS,02:11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO44,MER11,INT,04:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,MER,MER3,STO43,INT,02:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,MER47,STO43,PUNT,02:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,MER,MER9,STO9,DOWNS,05:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,STO,STO9,MER10,FG,09:07,10/25/2025,", Pennsylvania",45.0,Cloudy,"STO - Scalese,Domenic 26 yd field goal 14 plays, 81 yards, TOP 09:07",09:07,STO
9,MER,MER37,STO0,TD,02:00,10/25/2025,", Pennsylvania",45.0,Cloudy,"MER - Kerbacher,Joe 6 yd pass from Urena,Adam (Evans,Dylan pass) 10 plays, 63 yards, TOP 02:00",02:00,MER
9,STO,MER47,MER48,HALF,00:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER1,MER25,FUMB,00:44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,MER25,MER8,FG,03:16,11/08/2025,",",NULL,Sunny,"SFU - Plummer,Mac 28 yd field goal 5 plays, 17 yards, TOP 03:16",03:16,SFU
10,MER,MER35,MER46,PUNT,02:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,SFU25,MER36,DOWNS,02:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER36,MER35,PUNT,00:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,SFU16,SFU37,PUNT,03:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER32,MER39,PUNT,03:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,SFU16,MER20,FG,07:25,11/08/2025,",",NULL,Sunny,"SFU - Plummer,Mac 34 yd field goal 13 plays, 64 yards, TOP 07:25",07:25,SFU
10,MER,MER20,SFU47,DOWNS,02:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,SFU47,MER8,FG,02:31,11/08/2025,",",NULL,Sunny,"SFU - Plummer,Mac 26 yd field goal 9 plays, 45 yards, TOP 02:31",02:31,SFU
10,SFU,SFU34,SFU42,PUNT,01:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER29,SFU18,FG,04:30,11/08/2025,",",NULL,Sunny,"MER - Young,Max 35 yd field goal 9 plays, 53 yards, TOP 04:30",04:30,MER
10,SFU,SFU21,SFU49,PUNT,03:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER14,SFU0,TD,02:49,11/08/2025,",",NULL,Sunny,"MER - Trobel,Brian 10 yd run (Young,Max kick), 6 plays, 86 yards, TOP 02:49",02:49,MER
10,SFU,SFU26,MER19,FGA,03:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,MER,MER20,MER40,PUNT,03:50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,SFU26,MER1,FG,07:48,11/08/2025,",",NULL,Sunny,"SFU - Plummer,Mac 20 yd field goal 16 plays, 73 yards, TOP 07:48",07:48,SFU
10,MER,MER35,SFU48,FUMB,00:12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,SFU,MER7,MER7,FG,00:28,11/08/2025,",",NULL,Sunny,"SFU - Plummer,Mac 25 yd field goal 4 plays,  yards, TOP 00:28",00:28,SFU
10,MER,MER35,SFU0,TD,00:40,11/08/2025,",",NULL,Sunny,"MER - Evans,Dylan 15 yd pass from Urena,Adam ( ) 6 plays, 65 yards, TOP 00:40",00:40,MER
10,SFU,SFU39,SFU37,HALF,00:15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER25,RMU19,FG,03:59,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"MER - Young,Max 36 yd field goal 9 plays, 56 yards, TOP 03:59",03:59,MER
11,RMU,RMU34,RMU43,PUNT,02:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER22,RMU35,INT,06:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,RMU,RMU14,RMU37,PUNT,02:35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
